AL,36619,35040,2000
AR,72903,71601,2000
AZ,86430,85009,2000
CA,96002,90036,2000
VA,20180,,2000
CO,81212,80011,2000
CT,06810,,2000
DC,20008,,2000
DE,19947,19720,2000
FL,34997,32043,2000
GA,39842,,2000
IA,51502,50219,2000
ID,83854,83202,2000
IL,62903,,2000
IN,47905,46032,2000
KS,67401,66044,2000
KY,42702,40083,2000
LA,71270,70005,2000
MA,02703,01041,2000
MD,21921,20603,2000
ME,04758,03904,2000
MI,49423,48042,2000
MN,55987,55125,2000
MO,65803,63025,2000
MS,39648,38671,2000
MT,59101,,2000
NC,32107,,2000
ND,58103,,2000
NE,68164,68144,2000
NH,03773,03103,2000
NJ,08902,07036,2000
NM,88011,,2000
NV,89801,89029,2000
NY,14851,,2000
OH,45880,43015,2000
OK,74701,73069,2000
OR,97603,97005,2000
PA,19551,15056,2000
RI,02886,02861,2000
SC,29927,29072,2000
SD,57703,57105,2000
TN,38555,37013,2000
TX,79936,75001,2000
UT,84404,84020,2000
VA,24605,20105,2000
WA,99336,98001,2000
WI,54942,53022,2000
WV,26836,24740,2000
WY,82901,82009,2000
